Previous EPA Number,Previous Item Number,New EPA Number,New Item Number,Function Code
001,a,1003,b,205
001,b,1036,c,108
002,a,,,
002,b,,,
002,c,,,
002,d,,,
002,e,,,
003,a,1003,b,205
004,a,,,
004,b,,,
004,c(1)(a),,,
004,c(1)(b),,,
004,c(2),,,
004,d,,,
004,e,,,
005,a,1035,c,108
006,a,1051,b,301
006,b,1006,b,401
007,a(1),1023,a,306
007,a(2),1023,a,306
007,a(3),0008,a,0
007,b,1023,c,306
008,a,,,
009,a,,,
009,b,,,
009,c,,,
009,d,,,
009,e,,,
009,f,,,
009,g,,,
010,a,1036,b,108
010,b,1036,b,108
010,c,1036,b,108
010,d,1036,b,108
010,e,1036,b,108
012,a(1),1036,a,108
012,a(2),1036,a,108
012,a(3),0008,a,0
013,a(1),1036,a,108
013,a(2),1036,a,108
013,a(3),0008,a,0
014,a(1),1036,a,108
014,a(2),1036,a,108
014,a(3),0008,a,
015,a,1036,d,108
016,a,,,
018,a,1036,a and g,108
018,b,1036,a and g,108
018,c,1036,a and g,108
018,d,1036,a and g,108
018,e,1036,a and g,108
019,a(1),1036,a,108
019,a(2),1036,a,108
019,a(3),0008,a,
020,a,1036,c,108
020,b,1036,c,108
020,c,1036,c,108
022,a,,,
022,b,,,
022,c,,,
022,d,,,
022,e,,,
023,a,,,
023,b,, ,
024,a,1036,c,108
025,a,1036,c,108
025,b(1),1036,a,108
025,b(2),1036,a,108
025,b(3),0008,a,
026,a,,,
027,a,,,
027,b,,,
027,c,,,
027,d,,,
027,e,,,
028,a,0008,a,
028,b,1010,a,401
028,c,1010,Guidance,401
028,d,1010,Guidance,401
028,e,1010,a,401
028,f,1010,a,401
029,a(1),1049,j,305
029,a(2),1049,j,305
029,a(3),1049,Guidance,305
030,a(1),1049,a,305
030,a(2)(a),1049,a,305
030,a(2)(b),1049,a,305
030,a(3)(a),1049,a,305
030,a(3)(b),1049,a,305
030,b,,,
031,a,1049,r,305
031,b,1049,i,305
032,a,1049,a,305
032,b,,,
033,a,1049,e,305
033,b,1049,e,305
035,a(1),1033,f,317
035,a(2),1033,g,317
035,b(1),1033,j,317
035,b(2),1033,k,317
035,c(1),1033,m,317
035,c(2),1033,n,317
036,a(1)(a),1004,b,405
036,a(1)(b),1004,b,405
036,a(2)(a),1004,b,405
036,a(2)(b),1004,b,405
036,b,, ,
036,c,1004,e,405
036,d,1004,c,405
037,a,1006,b,401
039,a,,,
039,b,,,
039,c,,,
040,a,1005,a,402
040,b,1005,a,402
041,c,,,
041,d,,,
041,e,,,
042,a,,,
042,b,,,
042,c,,,
042,d,,,
042,e,,,
042,f,,,
043,a,1005,b,402
044,a,1035,c,108
047,a,,,
047,b,,,
047,c,,,
047,d,,,
047,e,,,
047,f,,,
047,g,,,
047,h,,,
047,i,,,
048,a,1035,b,108
050,e,,,
051,a,,,
051,b,,,
052,a,,,
052,b,,,
052,c,,,
052,d,,,
052,e,,,
053,a,,,
053,b,,,
053,c,,,
053,d,,,
053,e,,,
054,a,,,
054,b,,,
054,c,,,
054,d,,,
054,e,,,
055,a,,,
055,b,,,
055,c(1),,,
055,c(2),,,
055,c(3),,,
055,d(1),,,
055,d(2),,,
055,e,,,
057,a,,,
057,b,,,
057,c,,,
057,d,,,
057,e,,,
060,a,,,
060,b,,,
060,c,,,
060,d,,,
060,e,,,
062,a,,,
062,b,,,
062,c,,,
062,d,,,
062,e,,,
063,c,,,
068,a,,,
068,b,,,
068,c,,,
068,d,,,
069,a,1033,a,317
069,b,1033,a,317
070,a,1033,p,317
071,a,1033,b,317
072,a,1033,c,317
072,b,1033,c,317
073,a,1033,e,317
073,b,1033,e,317
074,a,1033,d,317
074,b,1033,d,317
077,a,,,
077,b,,,
077,c,,,
077,d,,,
077,e,,,
080,a,1036,c,108
081,a(1),1022,a,305
081,a(2),1022,a,305
081,a(3),0008,a,
081,b,1022,c,305
082,a,1016,c,301
083,a,1044,c,108
085,a,1036,c,108
086,a,1035,c,108
087,a,1036,c,108
088,a,,,
088,b,,,
088,c,,,
088,d,,,
088,e,,,
089,a,,,
090,a,,,
090,b,,,
090,c,,,
091,a(1),1035,a,108
091,a(2),1035,a,108
091,a(3),0008,a,
092,a,1035,d,108
093,a,1035,e,108
094,a,,,
094,b,,,
094,c,,,
094,d,,,
094,e,,,
095,a,,,
095,b,,,
095,c,,,
095,d,,,
095,e,,,
096,a,,,
096,b,,,
096,c,,,
096,d,,,
096,e,,,
096,f,,,
097,a,,,
097,b(1),,,
097,b(2),,,
097,c,,,
097,d,,,
097,e,,,
097,f,,,
098,a,,,
098,b,,,
098,c,,,
098,d,,,
098,e,,,
099,a,1035,c,108
100,a,,,
100,b,,,
101,a,1035,d,108
101,b,,,
105,a(1),1021,a,304
105,a(2),1021,a,304
105,a(3),0008,a,
106,a(1),1021,a,304
106,a(2),1021,a,304
106,a(3),0008,a,
107,a(1),,,
107,a(2),,,
107,a(3)(a),,,
107,a(3)(b),,,
107,a(4),,,
107,a(5),,,
107,b(1),,,
107,b(2)(a),,,
107,b(2)(b),,,
107,b(3),,,
107,b(4),,,
109,a,1006,b,401
109,b,1006,b,401
110,a,1006,b,401
111,a,1051,a,301
111,b,1006,b,401
111,c,1006,d,401
112,a(1),1049,a,305
112,a(2)(a),1049,a,305
112,a(2)(b),1049,a,305
112,a(3)(a),1049,a,305
112,a(3)(b),1049,a,305
112,b,,,
113,a,1049,s,305
113,b,1049,i,305
115,a,1049,l,305
115,b,1049,l,305
115,c,1049,l,305
116,a,1049,f,305
117,a,1049,e,305
117,b,1049,e,305
118,a,,,
118,b,,,
119,a,1012,b,404
119,b,1012,b,404
121,a,1005,b,402
121,b,1005,g,402
121,c,1006,b,401
121,d,1006,b,401
121,e,1006,b,401
121,f,1006,b,401
122,a,,,
122,b,,,
124,a,1012,c,404
125,a,1012,d,404
125,b(1),1012,d,404
125,b(2),1012,c,404
127,a,1006,b,401
128,a,1012,d,404
128,b,1012,d,404
129,a,1012,b,404
129,b,1012,e,404
130,a,1012,c,404
131,a,1044,c,108
132,a,1020,c,303
133,a(1)(a),1044,a,108
133,a(1)(b),1044,a,108
133,a(1)(c),0008,a,
133,a(2),,,
134,a(1)(a),1044,a,108
134,a(1)(b),1044,a,108
134,a(1)(c),0008,a,
134,a(2)(a),1044,a,108
134,a(2)(b),1044,a,108
134,a(2)(c),0008,a,
134,a(3)(a),1044,a,108
134,a(3)(b),1044,a,108
134,a(3)(c),0008,a,
135,a(1)(a),1044,b,108
135,a(1)(b),1044,b,108
135,a(1)(c),0008,a,
135,a(2),1044,d,108
135,a(3),,,
136,a,1012,d,404
136,b,1012,d,404
136,c,1012,c,404
137,a,1044,d,108
138,a,1012,c,404
138,b,1012,c,404
138,c,1012,c,404
140,a(1),1051,a,301
140,a(2),1051,a,301
140,a(3),0008,a,
140,b,1022,b,305
141,a(1),1051,a,301
141,a(2),1051,a,301
141,a(3),0008,a,
141,b,1006,a,401
142,a,1012,d,404
142,b,1012,d,404
144,a,1012,d,404
144,b,1012,b,404
144,c,1012,c,404
145,a(1),1021,a,304
145,a(2),1021,a,304
145,a(3),0008,a,
147,a,1006,a,401
147,b,,,
147,c,,,
147,d,,,
147,e,,,
147,f,,,
149,a(1),1023,a and b,306
149,a(2),1023,a and b,306
149,a(3),0008,a,
149,b,1023,c,306
150,a,1023,a and b,306
150,b,1023,c,306
150,c,,,
150,d,,,
150,e,,,
150,f,,,
152,a,,,
152,b,,,
152,c,,,
152,d,,,
153,a,,,
153,b,,,
153,c,,,
153,d,,,
153,e,,,
153,f,,,
153,g,,,
153,h,,,
154,a,1020,b,303
155,a(1),1020,a,303
155,a(2),1020,a,303
155,a(3),0008,a,
155,b,1020,c,303
157,a,1035,b,108
158,a,,,
158,b,,,
158,c,,,
158,d,,,
158,e,,,
158,f,,,
160,a,1012,e,404
160,b,1012,e,404
160,c,1012,e,404
161,a(1),1012,e,404
161,a(2),1012,e,404
161,b,1012,e,404
162,a,1006,d,401
164,a,1006,d,401
164,b,1006,d,401
165,a,1006,d,401
166,a,1006,d,401
166,b,1006,d,401
167,a,1006,d and e,401
169,a,1006,Guidance,401
170,a,1012,e,404
170,b,1012,e,404
170,c,1012,e,404
171,a(1),1012,Guidance,404
171,a(2),1012,Guidance,404
171,a(3),1012,Guidance,404
171,a(4),1012,e,404
171,b,1012,e,404
171,c,1012,e,404
171,d,1012,e,404
173,a,1012,e,404
174,a,1012,e,404
175,a,1012,e,404
176,a,1012,e,404
177,a,1012,e,404
177,b,1012,e,404
180,a,1024,d,316
181,a,1024,a,316
181,b,1024,d,316
181,c(1),1024,a and d,316
181,c(2),1012,c,404
181,c(3),1024,e,316
183,a,1036,c,108
183,b,1003,b,205
185,a,1035,c,108
185,b,1035,c,108
185,c,1035,d,108
186,a,1006,b,401
187,a,1006,b,401
187,b,1006,b,401
188,a(1),1012,b,404
188,a(2),1012,b,404
188,a(3),0008,a,0
190,a(1),1021,a,304
190,a(2),1021,a,304
190,a(3),0008,a,
192,a,1016,d,301
193,a,1016,d,301
194,a(1),1021,a,304
194,a(2),1021,a,304
194,a(3),0008,a,
195,a,1021,b,304
198,a,1016,d,301
199,a,1023,d,306
199,b,1023,d,306
200,a,1006,b,401
200,b,,,
200,c(1),1022,a,305
200,c(2),1022,a,305
200,c(3),0008,a,
200,d,,,
201,a,1035,d,108
202,a,1004,b,405
202,b,1004,b,405
202,c,1004,b,405
203,a,1016,c,301
204,a(1),1023,a,306
204,a(2),1023,a,306
204,a(3),0008,a,
205,a(1),1047,a,108
205,a(2),1047,a,108
205,a(3),0008,a,
205,b,1047,c,108
205,c,1047,c,108
205,d,1047,d,108
206,a(1),1044,a,108
206,a(2),1044,a,108
206,a(3),0008,a,
206,b,1044,c,108
207,a,1044,c,108
207,b,1044,b,108
207,c(1),1044,a,108
207,c(2),1044,a,108
207,c(3),0008,a,
207,Guidance,1047,e,108
208,a,1044,d,108
208,b,1044,c,108
208,c,1044,b,108
210,a,1047,b,108
210,b,1047,b,108
210,c,1047,c,108
210,d,1047,c,108
211,a,1044,d,108
212,a(1),1023,a,306
212,a(2),1023,a,306
212,a(3),0008,a,
213,a(1),1035,a,108
213,a(2),1035,a,108
213,a(3),0008,a,
213,b,1035,c,108
214,a,1035,c,108
215,a,1035,c,108
216,a,1044,d,108
217,a(1),1023,a,306
217,a(2),1023,a,306
217,a(3),0008,a,
217,b,,,
218,a,1023,d,306
218,b,1023,d,306
219,a,1035,c,108
220,a,1035,c,108
220,b,1035,c,108
220,c,1035,c,108
222,a,1035,d,108
223,a,1035,c,108
225,a,1035,c,108
226,a,1035,d,108
227,a,1035,c,108
228,a,1035,d,108
229,a,1035,c,108
230,a(1),1022,a,305
230,a(2),1022,a,305
230,a(3),0008,a,
232,a,1003,a,205
233,a(1),1035,a,108
233,a(2),1035,a,108
233,a(3),0008,a,
233,b,1035,c,108
233,c,1035,c,108
234,a,,,
234,b,,,
234,c,,,
234,d,,,
234,e,,,
236,a,1044,c,108
237,a(1),1044,a,108
237,a(2),1044,a,108
237,a(3),0008,a,
241,a,,,
241,b,,,
241,c,,,
241,d,,,
241,e,,,
242,a,,,
242,b,,,
242,c,,,
242,d,,,
242,e,,,
247,a(1),1035,a,108
247,a(2),1035,a,108
247,a(3),0008,a,
248,a,1035,d,108
250,a(1),1022,a,305
250,a(2),1022,a,305
250,a(3),0008,a,
250,b,1022,b,305
250,c,1022,c,305
253,a,,,
253,b,,,
253,c(1),,,
253,c(2),,,
253,d,,,
253,e,,,
253,f,,,
254,a,1022,b,305
255,a,1016,d,301
256,a,1044,d,108
257,a,,,
257,b,,,
257,c,,,
257,d,,,
257,e,,,
257,f,,,
258,a(1),1035,a,108
258,a(2),1035,a,108
258,a(3),0008,a,
258,b,1036,c,108
258,c,1006,b,401
259,a,1016,e,301
259,b,1016,e,301
260,a(1),1023,a,306
260,a(2),1023,a,306
260,a(3),0008,a,
261,a(1),1035,a,108
261,a(2),1035,a,108
261,a(3),0008,a,
262,a(1),1035,a,108
262,a(2),1035,a,108
262,a(3),0008,a,
263,a,,,
263,b,,,
263,c,,,
263,d,,,
263,e,,,
264,a,,,
264,b(1),,,
264,b(2),,,
264,c,,,
264,d,,,
264,e,,,
273,a,,,
273,b,,,
273,c,,,
273,d,,,
273,e,,,
274,a,1003,c,205
275,a,1004,Guidance,405
275,b(1),1004,b,405
275,b(2)(a),1004,b,405
275,b(2)(b),1004,Guidance,405
275,c(1),1004,b,405
275,c(2),1004,Guidance,405
275,d,1004,e,405
276,a(1),1005,f,402
276,a(2),1006,b,401
276,b,,,
277,a,1035,e,108
278,a,1005,b,402
278,b,,,
279,a(1),1005,f,402
279,a(2),1005,d,402
279,b(1),1005,Guidance,402
279,b(2),1006,b,401
280,a,1005,c,402
280,b,,,
281,a(1),1005,d,402
281,a(2),1005,d,402
282,a,1005,d,402
283,a,1005,e,402
284,a,1005,d,402
284,b,1005,d,402
284,c,1005,d,402
289,a,1005,b,402
290,a,1004,b,405
290,b,1004,b,405
291,a,1007,a,401
291,b,1007,c,401
292,a,1035,d,108
292,b,1035,d,108
292,c,1035,d,108
294,a(1),1023,a,306
294,a(2),1023,a,306
294,a(3),0008,a,
295,a,1035,d,108
295,b,1035,e,108
295,c,1035,Guidance,108
296,a(1),1023,a,306
296,a(2),1023,a,306
296,a(3),0008,a,
296,b(1),1023,a,306
296,b(2),1023,a,306
296,b(3),0008,a,
297,a,1004,d,405
299,a,,,
299,b,,,
299,c(1),,,
299,c(2),,,
299,d,,,
299,e(1),,,
299,e(2),,,
300,a,,,
300,b,,,
300,c,,,
300,d,,,
300,e,,,
300,f,,,
300,g,,,
304,a(1),1012,e,404
304,a(2),1012,a,404
304,b,,,
307,a(1),,,
307,a(2),1006,b,401
307,b,1006,b,401
309,a,1006,d,401
309,b,1006,d,401
310,a,1012,c,404
313,a(1),1049,i,305
313,a(2),1049,i,305
313,a(3),1049,Guidance,305
313,b,1049,k,305
314,a(1),1035,a,108
314,a(2),1035,a,108
314,a(3),0008,a,
315,a,1035,b,108
315,b,1035,b,108
315,c(1)(a),1035,a,108
315,c(1)(b),1035,a,108
315,c(1)(c),0008,a,
315,c(2),1035,c,108
315,c(3),1035,c,108
315,d,1035,b,108
316,a,1035,e,108
317,a,1035,c,108
318,a,,,
318,b,,,
318,c,,,
318,d,,,
318,e,,,
318,f,,,
318,g,,,
318,h,,,
318,i,,,
319,a,1035,c,108
320,a,1035,b,108
321,a,1035,c,108
321,b,,,
322,a,1016,b,301
324,a(1),1035,a,108
324,a(2),1035,a,108
324,a(3),0008,a,
325,a,1035,c,108
326,a(1),1035,a,108
326,a(2),1035,a,108
326,a(3),0008,a,
327,a,1035,e,108
329,a,,,
329,b,,,
329,c,,,
329,d,,,
329,e,,,
329,f,,,
329,g,,,
329,h,,,
332,a(1),1023,a,306
332,a(2),1023,a,306
332,a(3),0008,a,
334,a(1),1022,a,305
334,a(2),1022,a,305
334,a(3),0008,a,
334,b,1022,b,305
334,c,1022,c,305
335,a(1),1035,a,108
335,a(2),1035,a,108
335,a(3),0008,a,
337,a,1035,c,108
339,a,1035,b,108
339,b,1035,d,108
347,a,1044,b,108
348,a(1),1035,a,108
348,a(2),1035,a,108
348,a(3),0008,a,
348,b,, ,
348,c,,,
348,d,1004,b,405
350,a,1035,d,108
351,a,1035,e,108
352,a,,,
352,b,,,
352,c,,,
352,d,,,
352,e,,,
352,f,,,
354,a,1035,c,108
356,a,1023,d,306
357,a,1035,b,108
357,b,1035,b,108
357,c,,,
359,a,1044,b,108
361,a(1),1035,a,108
361,a(2),1035,a,108
361,a(3),0008,a,
362,a,1035,b,108
363,a,1035,b,108
363,b,1035,e,108
364,a(1),1035,a,108
364,a(2),1035,a,108
364,a(3),0008,a,
365,a,1035,b,108
366,a,,,
366,b,,,
366,c,,,
366,d,,,
366,e,,,
371,a(1),1035,a,108
371,a(2),1035,a,108
371,a(3),0008,a,
371,b,,,
372,a(1),1035,a,108
372,a(2),1035,a,108
372,a(3),0008,a,
373,a,,,
373,b,,,
373,c,,,
373,d,,,
373,e,,,
379,a,1035,c,108
379,b,1035,d,108
383,a,1035,c,108
392,a,1010,a,401
393,a,1010,b,401
393,b,, ,
393,c,,,
399,a(1),1044,a,108
399,a(2),1044,a,108
399,a(3),0008,a,
400,a,,,
400,b,,,
400,c,,,
400,d,,,
400,e,,,
405,a,,,
405,b(1),,,
405,b(2),,,
405,b(3),,,
405,c,,,
405,d,,,
405,e,,,
405,f,,,
411,a,1035,d,108
412,a(1),,,
412,a(2),,,
412,a(3),0008,a,
412,b,1023,c,306
412,c(1),,,
412,c(2),,,
412,c(3),0008,a,
412,d(1),,,
412,d(2),,,
412,d(3),0008,a,
413,a,,,
413,b,,,
413,c,,,
413,d,,,
413,e,,,
414,a(1),1035,a,108
414,a(2),1035,a,108
414,a(3),0008,a,
414,b,1035,c,108
419,a,,,
419,b,,,
419,c,,,
419,d,,,
419,e,,,
420,a,,,
420,b,,,
420,c,,,
420,d,,,
420,e,,,
421,a,,,
421,b,,,
421,c,,,
421,d,,,
421,e,,,
428,a(1),1035,a,108
428,a(2),1035,a,108
428,a(3),0008,a,
428,b,,,
429,a,1044,c,108
432,a,,,
432,b,,,
432,c,,,
432,d,,,
432,e,,,
434,a,,,
436,a,,,
436,b,,,
436,c,,,
436,d,,,
436,e,,,
440,a,1012,b,404
443,a,,,
443,b,,,
443,c,,,
443,d,,,
443,e,,,
444,a,,,
444,b,,,
444,c,,,
444,d,,,
444,e,,,
446,a,,,
446,b,,,
446,c,,,
446,d,,,
446,e,,,
447,a,,,
447,b,,,
447,c,,,
447,d,,,
447,e,,,
449,a(1)(a),1035,a,108
449,a(1)(b),1035,a,108
449,a(1)(c),0008,a,
449,a(2),1035,c,108
449,a(3),1035,d,108
449,a(4),1035,d,108
449,b,1035,e,108
449,c,1035,e,108
451,a(1),1035,a,108
451,a(2),1035,a,108
451,a(3),0008,a,
451,b,,,
452,a(1),1035,a,108
452,a(2),1035,a,108
452,a(3),0008,a,
452,b,, ,
453,a(1),1035,a,108
453,a(2),1035,a,108
453,a(3),0008,a,
453,b,,,
454,a(1),1035,a,108
454,a(2),1035,a,108
454,a(3),0008,a,
454,b,, ,
455,a(1),1035,a,108
455,a(2),1035,a,108
455,a(3),0008,a,
455,b,,,
456,a,1016,d,301
458,a,1035,d,108
459,a,1022,c,305
460,a(1),1035,a,108
460,a(2),1035,a,108
